company	sector	location	status	email	phone	painPoint	emissions	score
Sri Resources	Cement	Kuala Lumpur	New	lead1@example.com	+60 3-1111 1111	EQA 1974 compliance	480000	74
Mega Industries	Steel	Penang	New	lead2@example.com	+60 4-2222 2222	Scope 1-3 tracking	820000	79
Kuala Engineering	Palm Oil	Selangor	New	lead3@example.com	+60 3-3333 3333	CBAM prep	360000	71
Pelangi Chemicals	Petrochemical	Johor	New	lead4@example.com	+60 7-4444 4444	CEMS integration	1200000	81
Bumi Manufacturing	Steel	Perak	New	lead5@example.com	+60 5-5555 5555	Carbon pricing exposure	700000	76
Jaya Energy	Palm Oil	Kuala Terengganu	New	lead6@example.com	+60 9-6666 6666	EQA 1974 compliance	540000	72
Permai Holdings	Petrochemical	Pahang	New	lead7@example.com	+60 9-7777 7777	MSPO/RSPO readiness	1400000	82
Sentosa Corp	Steel	Sabah	New	lead8@example.com	+60 8-8888 8888	Bursa ESG reporting	600000	77
Mewah Group	Cement	Sarawak	New	lead9@example.com	+60 8-9999 9999	Scope 1-3 emissions visibility	950000	80
Cemerlang Sdn Bhd	Petrochemical	Melaka	New	lead10@example.com	+60 6-0000 0000	CBAM and carbon border exposure	1800000	83
